"2012","20-24 years",0.8,73,9619391
"2012","25-29 years",4.9,457,9280709
"2012","30-34 years",14.2,1289,9089045
"2012","35-39 years",31.0,2630,8486144
"2012","40-44 years",61.9,5551,8973000
"2012","45-49 years",95.3,8638,9063110
"2012","50-54 years",113.3,10451,9222934
"2012","55-59 years",134.3,11199,8339525
"2012","60-64 years",174.8,12230,6996527
"2012","65-69 years",224.8,12118,5390137
"2012","70-74 years",243.4,9212,3784041
"2012","75-79 years",258.0,7262,2815242
"2012","80-84 years",250.4,5404,2158282
"2012","85-89 years",247.3,3425,1385117
"2012","90+ years",222.4,1783,801820
"2012","Unknown",~,0,0
"2013","00 years",0.0,0,1728788
"2013","01-04 years",0.0,0,6968101
"2013","05-09 years",0.0,0,8923495
"2013","10-14 years",0.0,1,9005812
"2013","15-19 years",0.1,5,9102500
"2013","20-24 years",0.9,84,9703495
"2013","25-29 years",4.8,446,9354872
"2013","30-34 years",14.3,1327,9261625
"2013","35-39 years",32.1,2750,8560889
"2013","40-44 years",62.8,5608,8929248
"2013","45-49 years",97.2,8679,8924485
"2013","50-54 years",115.9,10740,9265151
"2013","55-59 years",135.3,11549,8537982
"2013","60-64 years",172.6,12323,7137684
"2013","65-69 years",225.2,12721,5649307
"2013","70-74 years",247.6,9905,4000701
"2013","75-79 years",258.9,7452,2878111
"2013","80-84 years",246.5,5298,2149700
"2013","85-89 years",249.1,3454,1386629
"2013","90+ years",211.5,1755,829745
"2013","Unknown",~,0,0
"2014","00 years",0.0,0,1737464
"2014","01-04 years",0.0,0,6985896
"2014","05-09 years",0.0,0,8917990
"2014","10-14 years",0.0,0,9069644
"2014","15-19 years",0.1,6,9075443
"2014","20-24 years",0.8,82,9737432
"2014","25-29 years",5.1,489,9517313
"2014","30-34 years",14.0,1313,9391289
"2014","35-39 years",31.4,2729,8696513
"2014","40-44 years",65.0,5741,8837551
"2014","45-49 years",95.1,8394,8826729
"2014","50-54 years",115.7,10761,9297501
"2014","55-59 years",137.2,11924,8692885
"2014","60-64 years",176.6,12933,7324917
"2014","65-69 years",225.5,13376,5932473
"2014","70-74 years",249.5,10431,4180095
"2014","75-79 years",258.7,7646,2955443
"2014","80-84 years",244.6,5247,2144716
"2014","85-89 years",242.4,3363,1387231
"2014","90+ years",210.6,1821,864602
"2014","Unknown",~,0,0
"2015","00 years",0.0,0,1751947
"2015","01-04 years",0.0,0,7002708
"2015","05-09 years",0.0,1,8917888
"2015","10-14 years",0.0,0,9103341
"2015","15-19 years",0.0,3,9113618
"2015","20-24 years",0.8,77,9648360
"2015","25-29 years",4.9,480,9712382
"2015","30-34 years",14.5,1376,9473520
"2015","35-39 years",31.6,2817,8903440
"2015","40-44 years",65.0,5667,8713848
"2015","45-49 years",97.4,8628,8854517
"2015","50-54 years",117.2,10823,9235470
"2015","55-59 years",135.5,11994,8848544
"2015","60-64 years",181.5,13683,7539538
"2015","65-69 years",226.1,14078,6225744
"2015","70-74 years",256.8,11156,4344877
"2015","75-79 years",257.0,7774,3025004
"2015","80-84 years",255.1,5489,2151522
"2015","85-89 years",242.2,3380,1395612
"2015","90+ years",203.4,1815,892345
"2015","Unknown",~,0,0
"2016","00 years",0.1,1,1737064
"2016","01-04 years",0.0,0,7010421
"2016","05-09 years",0.0,0,8923048
"2016","10-14 years",0.0,0,9163216
"2016","15-19 years",0.1,10,9154506
"2016","20-24 years",0.9,81,9498685
"2016","25-29 years",5.0,496,9921215
"2016","30-34 years",15.6,1491,9575538
"2016","35-39 years",30.7,2801,9120245
"2016","40-44 years",62.3,5342,8579768
"2016","45-49 years",93.5,8362,8940974
"2016","50-54 years",116.1,10566,9102309
"2016","55-59 years",136.6,12239,8961368
"2016","60-64 years",174.0,13468,7740372
"2016","65-69 years",222.1,14462,6512943
"2016","70-74 years",255.5,11468,4487765
"2016","75-79 years",257.2,7999,3110287
"2016","80-84 years",241.6,5244,2170203
"2016","85-89 years",245.6,3438,1399724
"2016","90+ years",200.2,1833,915484
"2016","Unknown",~,0,0
"2017","00 years",0.0,0,1699347
"2017","01-04 years",0.0,0,7020745
"2017","05-09 years",0.0,0,8878680
"2017","10-14 years",0.0,2,9272391
"2017","15-19 years",0.1,10,9165137
"2017","20-24 years",0.8,72,9363517
"2017","25-29 years",4.9,489,10067808
"2017","30-34 years",14.8,1424,9635779
"2017","35-39 years",31.6,2942,9315024
"2017","40-44 years",65.3,5601,8571294
"2017","45-49 years",99.8,8941,8963259
"2017","50-54 years",118.2,10584,8956573
"2017","55-59 years",135.9,12234,8999525
"2017","60-64 years",175.5,13953,7952421
"2017","65-69 years",227.4,14845,6529222
"2017","70-74 years",256.9,12492,4863502
"2017","75-79 years",260.5,8414,3229861
"2017","80-84 years",248.6,5458,2195709
"2017","85-89 years",236.9,3308,1396489
"2017","90+ years",204.7,1909,932440
"2017","Unknown",~,0,0
"2018","00 years",0.0,0,1660079
"2018","01-04 years",0.0,1,6980933
"2018","05-09 years",0.0,0,8834487
"2018","10-14 years",0.0,1,9355778
"2018","15-19 years",0.1,10,9186416
"2018","20-24 years",0.9,86,9246620
"2018","25-29 years",5.2,528,10111392
"2018","30-34 years",15.1,1468,9711758
"2018","35-39 years",31.2,2961,9493518
"2018","40-44 years",66.2,5712,8630315
"2018","45-49 years",98.8,8808,8910914
"2018","50-54 years",117.8,10380,8810361
"2018","55-59 years",138.4,12492,9026481
"2018","60-64 years",176.1,14291,8116079
"2018","65-69 years",225.8,15009,6647379
"2018","70-74 years",263.6,13407,5086635
"2018","75-79 years",264.0,8996,3407183
"2018","80-84 years",260.1,5836,2243878
"2018","85-89 years",251.2,3498,1392698
"2018","90+ years",213.6,2017,944222
"2018","Unknown",~,0,0
"2019","00 years",0.0,0,1630274
"2019","01-04 years",0.0,0,6897609
"2019","05-09 years",0.0,1,8844010
"2019","10-14 years",0.0,1,9367553
"2019","15-19 years",0.2,17,9216350
"2019","20-24 years",1.0,88,9155925
"2019","25-29 years",5.5,555,10076684
"2019","30-34 years",15.6,1534,9848622
"2019","35-39 years",33.5,3219,9608862
"2019","40-44 years",68.0,5937,8736791
"2019","45-49 years",103.2,9086,8803490
"2019","50-54 years",123.1,10707,8697407
"2019","55-59 years",140.5,12700,9038763
"2019","60-64 years",180.6,14871,8236470
"2019","65-69 years",230.4,15673,6803663
"2019","70-74 years",266.1,14168,5324953
"2019","75-79 years",270.6,9597,3545997
"2019","80-84 years",262.5,6038,2300008
"2019","85-89 years",253.6,3532,1392486
"2019","90+ years",216.0,2048,948305
"2019","Unknown",~,0,0
"2020","00 years",0.0,0,1603089
"2020","01-04 years",0.0,0,6766611
"2020","05-09 years",0.0,0,8848645
"2020","10-14 years",0.0,0,9358510
"2020","15-19 years",0.1,5,9204562
"2020","20-24 years",0.8,73,9127357
"2020","25-29 years",5.4,537,9918369
"2020","30-34 years",15.1,1512,9988248
"2020","35-39 years",31.7,3059,9651219
"2020","40-44 years",62.1,5530,8906299
"2020","45-49 years",97.7,8450,8650440
"2020","50-54 years",110.3,9600,8701449
"2020","55-59 years",129.1,11560,8954030
"2020","60-64 years",159.7,13338,8350224
"2020","65-69 years",202.6,14130,6975487
"2020","70-74 years",230.5,12841,5571693
"2020","75-79 years",240.4,8808,3664561
"2020","80-84 years",233.2,5464,2343087
"2020","85-89 years",216.2,3033,1402856
"2020","90+ years",192.9,1804,935314
"2020","Unknown",~,0,0
"2021","00 years",0.0,0,1540170
"2021","01-04 years",0.0,0,6594988
"2021","05-09 years",0.0,0,8805372
"2021","10-14 years",0.0,0,9259126
"2021","15-19 years",0.1,9,9184282
"2021","20-24 years",1.0,90,9102245
"2021","25-29 years",5.6,547,9693466
"2021","30-34 years",15.8,1583,10046933
"2021","35-39 years",33.9,3277,9663282
"2021","40-44 years",70.6,6397,9063911
"2021","45-49 years",105.3,8900,8453022
"2021","50-54 years",125.7,10996,8745855
"2021","55-59 years",142.0,12474,8784400
"2021","60-64 years",178.3,15007,8416823
"2021","65-69 years",224.6,16004,7125762
"2021","70-74 years",266.1,15489,5820969
"2021","75-79 years",277.2,10451,3770583
"2021","80-84 years",269.2,6458,2399342
"2021","85-89 years",248.8,3530,1418564
"2021","90+ years",211.5,1938,916146
"2021","Unknown",~,0,0
"2022","00 years",0.1,1,1592539
"2022","01-04 years",0.0,0,6434892
"2022","05-09 years",0.0,0,8757580
"2022","10-14 years",0.0,2,9116472
"2022","15-19 years",0.1,10,9312384
"2022","20-24 years",0.9,79,9156589
"2022","25-29 years",5.3,503,9572470
"2022","30-34 years",16.1,1631,10130744
"2022","35-39 years",32.6,3156,9667056
"2022","40-44 years",70.1,6463,9213747
"2022","45-49 years",104.9,8819,8406101
"2022","50-54 years",125.0,10902,8720729
"2022","55-59 years",137.5,11811,8589213
"2022","60-64 years",176.5,14876,8426377
"2022","65-69 years",224.6,16343,7275254
"2022","70-74 years",254.3,14793,5818273
"2022","75-79 years",263.5,10873,4125822
"2022","80-84 years",268.0,6685,2493950
"2022","85-89 years",243.5,3486,1431831
"2022","90+ years",201.6,1852,918553
"2022","Unknown",~,0,0
